Crop,Frequency,Unit,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014,Production 2006-07,Production 2007-08,Production 2008-09,Production 2009-10,Production 2010-11,Area 2006-07,Area 2007-08,Area 2008-09,Area 2009-10,Area 2010-11,Yield 2006-07,Yield 2007-08,Yield 2008-09,Yield 2009-10,Yield 2010-11
CerealsKharif,Annual,Ton mn,98.59212,105.0086,105.7808,114.554,113.4524,99.74983,113.7330901,125.2167715,122.16,123.2525,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
CerealsRabi,Annual,Ton mn,86.6412,90.2086,97.3038,101.4595,106.4474,103.695753,112.5177735,116.9803579,116.63,121.5602,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
TurKharif,Annual,Ton mn,2.3469,2.738,2.3141,3.07594,2.2655,2.464552,2.86112,2.654046,3.02,3.3822,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
OtherKharifPulsesKharif,Annual,Ton mn,0.6118,0.5443,0.70402,0.9555,0.79763636,0.48519393,1.32841646,0.930795,0.62,0.6692,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
GramRabi,Annual,Ton mn,5.4694,5.5999,6.3337,5.7486,7.0602,7.475903,8.221091,7.702324,8.83,9.9253,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
OtherKharifPulsesRabi,Annual,Ton mn,2.317,2.3109,2.2878,2.0017,2.2337,2.30803757,2.27046883,2.4013589,2.73,2.6899,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
Pulses,Annual,Ton mn,13.1295,13.3844,14.19752,14.76154,14.56637744,14.661789,18.2409455,17.0891239,18.34,19.5679,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
PulsesKharif,Annual,Ton mn,4.7173,4.8648,4.79542,6.40324,4.68617744,4.204202,7.120101,6.058041,5.91,6.1161,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
PulsesRabi,Annual,Ton mn,8.4122,8.5196,9.4021,8.3583,9.8802,10.457587,11.1208445,11.0310829,12.43,13.4518,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
Groundnut,Annual,Ton mn,24.3535,27.9779,24.2894,29.7553,27.718952,24.881624,32.478956,29.7986417,30.943,32.4143,162.7,212.7,173.75,146.5,195.7,143.05,146.8,141.4,123.94999999999999,129.65,111.1,144.95,124.6,112.55000000000001,146.14999999999998
